番号,107,
名前,清蘭,
呼び名,清蘭,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1800
素質,処女,1
素質,性別,1
素質,度胸,-1;臆病
素質,態度,1;反抗的
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,貞操,-1;貞操無頓着
素質,羞恥心,-1;恥薄い
素質,習得速度,1;習得早い
素質,自慰しやすい,1
素質,倒錯的,1
素質,Ｃ感度,1;Ｃ敏感
素質,酒耐性,-1;酒に弱い
素質,動物耳,2;兎耳
素質,掃除係,1
素質,妖怪,6;妖獣
能力,Ｃ感覚,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,2
能力,教養,1
能力,料理技能,2
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,1

経験,Ｃ経験,10
経験,自慰経験,10
フラグ,基本服装セット,207;服装
フラグ,地位,200;地位
フラグ,初期位置,1009;清蘭宅
フラグ,来訪時間,420;7時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1440;24時
フラグ,起床時間,360;6時
フラグ,よく行く地域,10
フラグ,自宅位置,1070
フラグ,424,3;竹林来訪率補正
フラグ,弾幕特能,4
相性,52,120;鈴仙
相性,108,120;鈴瑚
CSTR,10,～浅葱色のイーグルラヴィ～　●種族：玉兎　●能力：異次元から弾丸を飛ばす程度の能力 
