番号,12,;0-2
名前,ルーミア,
呼び名,ルーミア,
基礎,体力,2000
基礎,気力,1100
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1500
素質,性別,1
素質,処女,1
素質,プライド,-1;プライド低い
素質,性的興味,1;好奇心
素質,無知,1
素質,貞操,-1;貞操無頓着
素質,羞恥心,-1;恥薄い
素質,自慰しやすい,1
素質,快感応答,1;快感に素直
素質,バストサイズ,-1;貧乳
素質,体型,-2;幼児体型
素質,幼稚,1
素質,健啖,1
素質,妖怪,1
能力,従順,1

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,1
能力,教養,0
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,2
素質,調合Lv,0

フラグ,基本服装セット,112;服装
フラグ,地位,200;地位
フラグ,初期位置,543;開始位置;EX
フラグ,来訪時間,1080;18時
フラグ,帰宅時間,180;3時
フラグ,就寝時間,240;4時
フラグ,起床時間,720;12時
フラグ,よく行く地域,5
フラグ,自宅位置,510
フラグ,弾幕特能,64
CSTR,仕事情報,食料確保　火曜　22時～24時
CSTR,職場,お地蔵通り
CSTR,10,～宵闇の妖怪～　●種族：妖怪　●能力：闇を操る程度の能力
