番号,121,
名前,矢田寺 成美
呼び名,成美,
基礎,体力,2000
基礎,気力,1600
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1300
素質,処女,1
素質,性別,1
素質,態度,-1;素直
素質,応答,-1;大人しい
素質,性的興味,1;好奇心
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,1;濡れやすい
素質,快感応答,1;快感に素直
;素質,Ｃ感度,1;Ｃ敏感
;素質,Ｖ感度,1;Ｖ敏感
;素質,Ａ感度,1;Ａ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,-1;貧乳
素質,人形,3;ゴーレム
素質,追加種族,2;魔法使い
能力,従順,1
能力,奉仕精神,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,2
能力,教養,3
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,2

フラグ,基本服装セット,221;服装
フラグ,地位,400;地位
フラグ,初期位置,544;開始位置
フラグ,来訪時間,660;11時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1440;24時
フラグ,起床時間,480;8時
フラグ,よく行く地域,5
フラグ,自宅位置,510
フラグ,移動率補正,-5
フラグ,移動節度,1
フラグ,弾幕特能,48
相性,11,150;魔理沙
相性,29,80;文
相性,106,120;董子

CSTR,10,～森で垂迹した魔法地蔵～　●種族：魔法使い（地蔵）　●能力：魔法を使う程度の能力（生命操作）
