番号,133,
名前,驪駒 早鬼
呼び名,早鬼,
基礎,体力,2500
基礎,気力,1800
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,2000
素質,処女,1
素質,性別,1
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,目立ちたがり,1
素質,自己愛,1;解放
素質,羞恥心,-1;恥薄い
素質,痛覚,-1;痛みに強い
素質,習得速度,-1;習得遅い
素質,汚臭耐性,1;汚臭鈍感
素質,快感応答,1;快感に素直
素質,謎の魅力,1
素質,酒耐性,1;お酒に強い
素質,妖怪,6;妖獣
能力,欲望,3
能力,サドっ気,2

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,5
能力,教養,1
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,4
素質,釣りLv,0
素質,採集Lv,2
素質,調合Lv,0

フラグ,基本服装セット,233;服装
フラグ,地位,1000;地位
フラグ,初期位置,651;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1440;24時
フラグ,起床時間,480;8時
フラグ,よく行く地域,6
フラグ,自宅位置,680;畜生界
;フラグ,移動率補正,
フラグ,移動節度,-1
フラグ,口調,3
相性,130,80;八千慧
相性,131,50;磨弓
相性,132,50;袿姫
相性,143,80;尤魔
CSTR,10,～勁牙組（けいがぐみ）組長～　●種族：驪駒（くろこま）　●能力：比類無き脚力を持つ程度の能力
