番号,14,;0-4
名前,チルノ,
呼び名,チルノ,
基礎,体力,2000
基礎,気力,1100
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,1000
基礎,酒気,1200
素質,処女,1
素質,性別,1
素質,応答,1;生意気
素質,性的興味,1;好奇心
素質,目立ちたがり,1
素質,無知,1
素質,濡れやすさ,1;濡れやすい
素質,習得速度,-1;習得遅い
素質,Ｖ感度,1;Ｖ敏感
素質,バストサイズ,-1;貧乳
素質,体型,-2;幼児体型
素質,幼稚
素質,氷精,1
素質,妖精,1
能力,親密,2

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,1
能力,教養,0
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,2
素質,調合Lv,0

フラグ,基本服装セット,114;服装
フラグ,地位,200;地位;EX
フラグ,初期位置,345;開始位置
フラグ,来訪時間,480;8時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1260;21時
フラグ,起床時間,360;6時
フラグ,よく行く地域,3
フラグ,自宅位置,320;氷のかまくら
フラグ,移動率補正,5
フラグ,移動節度,-1
フラグ,弾幕特能,8
フラグ,別顔有,1
フラグ,別立ち有,1
相性,5,150;サニー
相性,6,150;ルナ
相性,7,150;スター
相性,13,200;大妖精
相性,18,50;リリーＷ
相性,19,50;リリーＢ
相性,27,200;リグル
相性,61,50;妹紅
相性,74,200;レティ
CSTR,仕事情報,遊ぶ　土・日　10時～16時　アイス屋　夏の晴天時　10～15時
CSTR,職場,サニー私室　人里
CSTR,10,～氷の小さな妖精～　●種族：雪ん娘　●能力：冷気を操る程度の能力
フラグ,産休タイプ,1；40日目から休む
