番号,157,
名前,日白 残無
呼び名,残無,
基礎,体力,2200
基礎,気力,2400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,2800
素質,処女,1
素質,性別,1

素質,度胸,1;気丈
素質,応答,1;生意気
素質,プライド,1;プライド高い
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,-1;濡れにくい
素質,サド,1;
素質,謎の魅力,1

素質,Ｃ感度,0;
素質,Ｖ感度,-1;鈍感
素質,Ａ感度,1;敏感
素質,Ｂ感度,0;
素質,Ｍ感度,1;敏感
素質,バストサイズ,-1;貧乳
素質,酒耐性,3;うわばみ
素質,人間,1;人間
素質,妖怪,2;鬼

能力,欲望,1
能力,サドっ気,3
能力,清掃技能,1
能力,話術技能,5
能力,戦闘能力,5
能力,教養,4
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,2
素質,採集Lv,1
素質,調合Lv,0

フラグ,基本服装セット,257;服装
フラグ,地位,1000;地位
フラグ,初期位置,607;残無の家
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1380;23時
フラグ,就寝時間,120;2時
フラグ,起床時間,480;8時
フラグ,よく行く地域,6;三途の川～冥界
フラグ,自宅位置,670;地獄
;フラグ,移動率補正,
フラグ,移動節度,-1
フラグ,口調,3;～だぞ系
相性,1,120;霊夢
相性,10,120;萃香

CSTR,仕事情報,
CSTR,職場,

CSTR,10,～寂滅為楽の王～　●種族：人鬼　●能力：虚無を操る程度の能力
