番号,17,;1-3
名前,アリス マーガトロイド,
呼び名,アリス,
基礎,体力,2000
基礎,気力,1500
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,2000
基礎,深度,2000
基礎,酒気,1200
素質,処女,1
素質,性別,1
素質,態度,1;反抗的
素質,プライド,1;プライド高い
素質,調合知識,1
素質,自慰しやすい,1
素質,中毒しやすい,1
素質,倒錯的,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,酒耐性,-1;酒に弱い
素質,妖怪,1
素質,追加種族,2;魔法使い
能力,Ｃ感覚,1
能力,欲望,1
能力,技巧,3
能力,レズっ気,3
能力,指,5

能力,清掃技能,1
能力,話術技能,2
能力,戦闘能力,3
能力,教養,3
能力,料理技能,3
能力,音楽技能,1
素質,伐採Lv,0
素質,釣りLv,1
素質,採集Lv,2
素質,調合Lv,3

経験,自慰経験,100
経験,調合経験,200
フラグ,基本服装セット,117;服装
フラグ,地位,600;地位
フラグ,初期位置,521;EX
フラグ,来訪時間,570;9.5時
フラグ,帰宅時間,1140;14時
フラグ,就寝時間,120;2時
フラグ,起床時間,540;9時
フラグ,よく行く地域,5
フラグ,自宅位置,550;人形の洋館
フラグ,大家候補,531
フラグ,住み込み必要信頼度,300
フラグ,弾幕特能,35
フラグ,別顔有,1
フラグ,別立ち有,1
相性,1,200;霊夢
相性,11,200;魔理沙
相性,16,80;レミリア
相性,54,120;パチュリー
相性,66,80;幽々子
相性,68,80;幽香
相性,72,80;永琳
相性,75,150;メディスン
相性,102,150;神綺
;相性,200;上海人形
;相性,200;蓬莱人形
;相性,200;大江戸人形
;相性,200;ゴリアテ人形

CSTR,仕事情報,人形劇　二週間に一度　10時～12時
CSTR,職場,里の広場
CSTR,9,人形の館・空き部屋
CSTR,10,～七色の人形使い～　●種族：魔法使い　●能力：魔法を扱う程度の能力
CSTR,11,　
CSTR,12,魔法の森に住む生粋の魔法使い
CSTR,13,自作の人形を操る七色の人形遣いでもあり、常に傍らに上海と蓬莱の人形を置いている
CSTR,14,　
CSTR,15,性格は比較的冷静で温和であり、世話焼きな面もある
CSTR,16,恋愛に対して順序と段階を大事にし、急に深い関係になるのは難しい

フラグ,産休タイプ,1；40日目から休む
