番号,24,;3-2
名前,橙,
呼び名,橙,
基礎,体力,2100
基礎,気力,1100
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,1000
基礎,酒気,1200
素質,処女,1
素質,性別,1
素質,応答,1;生意気
素質,性的興味,1;好奇心
素質,目立ちたがり,1
素質,無知,1
素質,自己愛,1;解放
素質,羞恥心,-1;恥薄い
素質,習得速度,-1;習得遅い
素質,猫舌,1
素質,汚臭耐性,-1;汚臭敏感
素質,バストサイズ,-1;貧乳
素質,酒耐性,-1;酒に弱い
素質,動物耳,4;猫耳
素質,体型,-2;幼児体型
素質,幼稚,1
素質,回復速度,1;回復早い
素質,掃除係,1
素質,妖怪,6;妖獣
能力,欲望,1

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,1
能力,教養,1
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,2
素質,採集Lv,3
素質,調合Lv,0

経験,レズ経験,30
フラグ,基本服装セット,124;服装
フラグ,地位,300;地位
フラグ,初期位置,635;開始位置;EX
フラグ,来訪時間,480;8時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1260;21時
フラグ,起床時間,360;6時
フラグ,427,7;山麓来訪率補正
フラグ,よく行く地域,7
フラグ,自宅位置,630;マヨイガ
フラグ,移動率補正,5
フラグ,移動節度,-1
フラグ,弾幕特能,128
相性,25,150;藍
相性,26,120;紫
CSTR,10,～凶兆の黒猫～　●種族：式神（化け猫）　●能力：妖術を扱う程度の能力
