番号,44,;8-2
名前,ふわふわエレン,
呼び名,エレン,
基礎,体力,1800
基礎,気力,1400
基礎,勃起,1500
基礎,法力,3100
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1500
素質,処女,1
素質,性別,1
素質,度胸,1;気丈
素質,態度,-1;素直
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,貞操,1;貞操観念
素質,羞恥心,-1;恥薄い
素質,習得速度,-1;習得遅い
素質,針さばき,1
素質,調合知識,1
素質,汚臭耐性,-1;汚臭敏感
素質,献身的,1
素質,快感応答,1;快感に素直
素質,魅力,1
素質,鼓舞,1
素質,バストサイズ,-2;絶壁
素質,音楽知識,2;歌唱知識
素質,体型,-1;小柄体型
素質,妖怪,1
素質,追加種族,2;魔法使い
素質,掃除係,1
能力,欲望,1

能力,清掃技能,3
能力,話術技能,2
能力,戦闘能力,1
能力,教養,3
能力,料理技能,2
能力,音楽技能,1
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,3
素質,調合Lv,4

経験,調合経験,200
フラグ,基本服装セット,144;服装
フラグ,地位,200;地位
フラグ,初期位置,535;開始位置;EX
フラグ,来訪時間,660;11時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1380;23時
フラグ,起床時間,360;6時
フラグ,よく行く地域,5
フラグ,自宅位置,510
フラグ,大家候補,536
フラグ,住み込み必要信頼度,100
フラグ,弾幕特能,132

CSTR,仕事情報,魔法屋の出張　毎月十五、三十日　14時～19時
CSTR,職場,里の広場
CSTR,9,エレン宅・倉庫
CSTR,10,～はたらきもので恋を夢見る魔女～　●種族：魔法使い
CSTR,11,　
CSTR,12,見た目は幼いが、こう見えても代々魔法使いの家系で齢１０００を超える立派な魔女
CSTR,13,長生きしている割には物覚えが悪く、ぽろぽろぽろぽろと次から次へと忘れていく
CSTR,14,素敵な男性との恋を夢見ているが、魔法を使うと髪が帯電する体質と幼い容姿のせいで想いが実ったことはない
CSTR,15,元々は幻想郷のある世界とは別の世界に住んでいたが、謎の力によって幻想郷に飛ばされた
CSTR,16,今は幻想郷に定住している……訳でもなく、時々元の世界に戻っているようだ
CSTR,17,ちなみに、昔は博麗神社の敷地内に店を構えていたが、今では別の場所に移している
フラグ,産休タイプ,2；60日目から休む
