番号,47,;9-1
名前,里香,
呼び名,里香,
基礎,体力,1600
基礎,気力,1400
基礎,勃起,1500
基礎,法力,3100
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1400
素質,処女,1
素質,性別,1
素質,態度,1;反抗的
素質,応答,1;生意気
素質,プライド,1;プライド高い
素質,目立ちたがり,1
素質,抵抗,1
素質,羞恥心,-1;恥薄い
素質,痛覚,1;痛みに弱い
素質,習得速度,1;習得早い
素質,汚臭耐性,1;汚臭鈍感
素質,体型,-1;小柄体型
素質,回復速度,1;回復早い
素質,人間,1
能力,欲望,1
能力,技巧,2

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,1
能力,教養,3
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,4

経験,自慰経験,5
フラグ,基本服装セット,147;服装
フラグ,地位,200;地位
フラグ,初期位置,99;開始位置;EX
フラグ,来訪時間,1080;18時
フラグ,帰宅時間,120;2時
フラグ,就寝時間,180;3時
フラグ,起床時間,600;10時
フラグ,よく行く地域,-1
フラグ,自宅位置,
フラグ,弾幕特能,8
相性,1,150;霊夢
CSTR,10,　　　　●種族：人間
