番号,49,
名前,古明地 さとり,
呼び名,さとり,
基礎,体力,1400
基礎,気力,1800
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,1000
基礎,酒気,1500
素質,処女,1
素質,性別,1
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,一線越えない,1
素質,貞操,-1;貞操無頓着
素質,習得速度,1;習得早い
素質,自慰しやすい,1
素質,倒錯的,1
素質,性別嗜好,1;男嫌い
素質,サド,1
素質,掃除係,1
素質,妖怪,1
能力,Ｃ感覚,1
能力,技巧,2
能力,自慰中毒,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,3
能力,教養,2
能力,料理技能,2
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,1

経験,絶頂経験,4
経験,自慰経験,30
経験,異常経験,1
経験,清掃経験,50
経験,会話経験,30
フラグ,大家候補,916
フラグ,住み込み必要信頼度,300
フラグ,基本服装セット,149;服装
フラグ,地位,1000;地位
フラグ,初期位置,919;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1320;22時
フラグ,起床時間,360;6時
フラグ,よく行く地域,9
フラグ,自宅位置,960;地霊殿
フラグ,移動率補正,-5
フラグ,移動節度,1
フラグ,弾幕特能,515
フラグ,別顔有,1
フラグ,別立ち有,1
相性,36,120;お燐
相性,37,120;おくう

相性,38,200;こいし
CSTR,10,～怨霊も恐れ怯む少女～　●種族：さとり　●能力：心を読む程度の能力
CSTR,11,　
CSTR,12,灼熱地獄跡の上に建てられた地霊殿の主。
CSTR,13,第三の目により相手の考えている事が全て判る。
CSTR,14,　
CSTR,15,地霊殿から一切外に出ない筈だったが、ペット達から面白い人間が居ると聞いて不安を覚えた
CSTR,16,出会った人物の能力を知り、危険人物の監視を目的にして外に出るようになる
CSTR,17,自覚はしていないがコミュニケーションして貰えることに、楽しさを感じている
