番号,55,
名前,聖 白蓮,
呼び名,白蓮,
基礎,体力,2500
基礎,気力,2300
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,1000
基礎,深度,3000
基礎,酒気,1000
素質,処女,1
素質,性別,1
素質,性的興味,-1;保守的
素質,一線越えない,1
素質,貞操,1;貞操観念
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,1;濡れやすい
素質,舌使い,1
素質,Ａ感度,1;Ａ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,2;爆乳
素質,体型,1;長身
素質,酒耐性,-2;下戸
素質,回復速度,1;回復早い
素質,妖怪,1
素質,追加種族,2;魔法使い
素質,掃除係,1
能力,Ｃ感覚,2
能力,親密,1
能力,奉仕精神,3
能力,レズっ気,3

能力,清掃技能,2
能力,話術技能,3
能力,戦闘能力,4
能力,教養,4
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,1
素質,釣りLv,0
素質,採集Lv,2
素質,調合Lv,2

経験,Ａ経験,1
経験,絶頂経験,5
経験,レズ経験,100
経験,異常経験,0
経験,戦闘経験,40
フラグ,基本服装セット,155;服装
フラグ,地位,1000;地位
フラグ,初期位置,118;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,よく行く地域,1
フラグ,自宅位置,140;命蓮寺本堂
フラグ,移動節度,1
フラグ,弾幕特能,23
フラグ,大家候補,119
フラグ,住み込み必要信頼度,0
相性,30,50;映姫
相性,39,150;ナズーリン
相性,41,150;ぬえ
相性,56,50;神子
相性,76,50;小町
相性,85,150;一輪
;相性,150;雲山
相性,86,150;ムラサ
相性,87,200;星ちゃん
相性,88,120;響子
相性,90,50;青娥
相性,91,50;屠自古
相性,92,50;布都
CSTR,仕事情報,勧誘活動　月・木　12～16時　女子会　第2日曜
CSTR,職場,広場　人里居酒屋(18～21時)
CSTR,10,～封印された大魔法使い～　●種族：魔法使い（元人間）　●能力：魔法を使う程度の能力
フラグ,産休タイプ,2；60日目から休む
