番号,84,
名前,黒谷 ヤマメ,
呼び名,ヤマメ,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1800
素質,性別,1;女
素質,態度,-1;素直
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,濡れやすさ,1;濡れやすい
素質,習得速度,1;習得早い
素質,薬毒耐性,1
素質,人気,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ａ感度,-1;Ａ鈍感
素質,バストサイズ,1;巨乳
素質,禁断の知識,1
素質,妖怪,8;妖蟲
能力,Ｃ感覚,1
能力,従順,1
能力,欲望,2

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,3
能力,教養,1
能力,料理技能,3
能力,音楽技能,0
素質,伐採Lv,3
素質,釣りLv,5
素質,採集Lv,3
素質,調合Lv,0

経験,Ｖ経験,10
経験,絶頂経験,5
経験,自慰経験,5
経験,料理経験,10
フラグ,基本服装セット,184;服装
フラグ,地位,300;地位
フラグ,初期位置,941;開始位置
フラグ,素材販売,66
フラグ,来訪時間,1200;20時
フラグ,帰宅時間,300;5時
フラグ,就寝時間,360;6時
フラグ,起床時間,840;14時
フラグ,よく行く地域,9
フラグ,自宅位置,910;幻想風穴
フラグ,弾幕特能,136
相性,51,80;にとり
相性,60,120;パルスィ
相性,64,150;勇儀
相性,83,120;キスメ
CSTR,10,～暗い洞窟の明るい網～　●種族：土蜘蛛　●能力：病気（主に感染症）を操る程度の能力
