番号,85,
名前,雲居 一輪,
呼び名,一輪,
基礎,体力,2200
基礎,気力,1500
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1700
素質,処女,1;処女
素質,性別,1;女
素質,度胸,1;気丈
素質,性的興味,-1;保守的
素質,一線越えない,1
素質,貞操,1;貞操観念
素質,羞恥心,1;恥じらい
素質,痛覚,-1;痛みに強い
素質,習得速度,1;習得早い
素質,献身的,1
素質,中毒しやすい,1
;素質,体型,-1;小柄体型
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,-1;Ａ鈍感
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,1;巨乳
素質,掃除係,1
素質,妖怪,1

能力,清掃技能,2
能力,話術技能,1
能力,戦闘能力,2
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,2
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,0

経験,自慰経験,5
経験,戦闘経験,30
フラグ,基本服装セット,185;服装
フラグ,地位,500;地位
フラグ,初期位置,116;開始位置
フラグ,来訪時間,420;7時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1200;20時
フラグ,起床時間,240;4時
フラグ,よく行く地域,1
フラグ,自宅位置,140;命蓮寺本堂
フラグ,弾幕特能,132
相性,55,200;白蓮
相性,56,50;神子
;相性,200;雲山
相性,86,150;ムラサ
相性,87,150;星ちゃん
CSTR,仕事情報,お寺の清掃　火曜木曜　7時～12時
CSTR,職場,命蓮寺境内
CSTR,10,～守り守られし大輪～　●種族：妖怪（元人間）　●能力：入道を使う程度の能力
フラグ,産休タイプ,2；60日目から休む
