番号,91,
名前,蘇我 屠自古,
呼び名,屠自古,
基礎,体力,1900
基礎,気力,1700
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1800
素質,処女,1;処女
素質,性別,1;女
素質,度胸,1;気丈
素質,態度,1;反抗的
素質,プライド,1;プライド高い
素質,陽気／陰気,1;陽気
素質,舌使い,1
素質,汚臭耐性,1;汚臭鈍感
素質,性別嗜好,1;男嫌い
素質,Ｖ感度,-1;Ｖ鈍感
素質,Ｂ感度,-1;Ｂ鈍感
素質,バストサイズ,1;巨乳
素質,幽霊,3;亡霊
能力,サドっ気,1
能力,レズっ気,2

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,3
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,1

経験,キス経験,10
経験,レズ経験,50
経験,異常経験,1
フラグ,基本服装セット,191;服装
フラグ,地位,500;地位
フラグ,初期位置,125;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1380;23時
フラグ,起床時間,300;5時
フラグ,よく行く地域,1
フラグ,弾幕特能,260
フラグ,自宅位置,160;聖徳道場
相性,55,50;白蓮
相性,56,200;神子
相性,92,130;布都
CSTR,仕事情報,会話　火曜　20時～21時
CSTR,職場,天界
CSTR,10,～神の末裔の亡霊～　●種族：亡霊　●能力：雷を起こす程度の能力
フラグ,産休タイプ,1；40日目から休む
